iso3,country,crop_area_1000ha,include_greenhouse,fraction_crop_area
GHA,Ghana,5221.0,1,0.00365097885021252
GTM,Guatemala,2045.0,1,0.00143004247245444
GIN,Guinea,3800.0,1,0.00265729163585665
GNB,Guinea-Bissau,550.0,1,0.000384607999926621
GUY,Guyana,460.0,1,0.000321672145393174
HTI,Haiti,1350.0,1,0.000944037818001705
HND,Honduras,1596.0,1,0.00111606248705979
IND,India,169317.0,1,0.118401223133774
IDN,Indonesia,51300.0,1,0.0358734370840648
IRN,Iran (Islamic Republic of),17536.0,1,0.0122627016122059
IRQ,Iraq,5250.0,1,0.00367125818111774
ISR,Israel,478.0,1,0.000334259316299863
JAM,Jamaica,215.0,1,0.000150346763607679
JPN,Japan,4397.0,1,0.00307476613759518
JOR,Jordan,288.0,1,0.000201394734507031
KAZ,Kazakhstan,29989.0,1,0.0209709260178171
KEN,Kenya,6330.0,1,0.00442648843551911
KOR,Democratic People's Republic of Korea,2580.0,1,0.00180416116329215
PRK,Republic of Korea,1581.0,1,0.00110557317797089
KWT,Kuwait,14.0,1,9.79002181631398e-06
KGZ,Kyrgyzstan,1364.0,1,0.000953827839818019
LAO,Lao People's Democratic Republic,1719.0,1,0.00120207482158884
LBN,Lebanon,258.0,1,0.000180416116329215
LSO,Lesotho,142.0,1,9.92987927083275e-05
LBR,Liberia,700.0,1,0.000489501090815699
LBY,Libya,2050.0,1,0.0014335389088174
MDG,Madagascar,3600.0,1,0.00251743418133788
MWI,Malawi,3800.0,1,0.00265729163585665
MYS,Malaysia,8286.0,1,0.00579429434071269
MLI,Mali,6561.0,1,0.00458802379548829
MRT,Mauritania,411.0,1,0.000287407069036075
MUS,Mauritius,79.0,1,5.52436945349146e-05
MEX,Mexico,22129.0,1,0.0154745280552294
MDA,Republic of Moldova,1922.0,1,0.00134403013792539
MNG,Mongolia,1334.0,1,0.000932849221640204
MAR,Morocco,8612.0,1,0.00602226199157829
MOZ,Mozambique,5950.0,1,0.00416075927193344
NAM,Namibia,810.0,1,0.000566422690801023
NPL,Nepal,2326.0,1,0.00162654219605331
NZL,New Zealand,620.0,1,0.000433558109008191
NIC,Nicaragua,1790.0,1,0.001251724217943
NER,Niger,17818.0,1,0.0124599006230773
NGA,Nigeria,40500.0,1,0.0283211345400512
MKD,North Macedonia,460.0,1,0.000321672145393174
NOR,Norway,803.0,1,0.000561527679892866
OMN,Oman,110.0,1,7.69215999853241e-05
PAK,Pakistan,31300.0,1,0.0218876916321877
PAN,Panama,750.0,1,0.000524465454445392
PNG,Papua New Guinea,1000.0,1,0.000699287272593856
PRY,Paraguay,4824.0,1,0.00337336180299276
PER,Peru,5678.0,1,0.00397055313378791
PHL,Philippines,10940.0,1,0.00765020276217678
QAT,Qatar,17.0,1,1.18878836340956e-05
RUS,Russian Federation,123442.0,1,0.0863214195035308
RWA,Rwanda,1402.0,1,0.000980400756176586
SAU,Saudi Arabia,3598.0,1,0.00251603560679269
SEN,Senegal,3278.0,1,0.00229226367956266
SRB,Serbia,2785.0,1,0.00194751505417389
SLE,Sierra Leone,1749.0,1,0.00122305343976665
SGP,Singapore,0.0,1,0.0
SOM,Somalia,1125.0,1,0.000786698181668088
ZAF,South Africa,12413.0,1,0.00868025291470753
SSD,South Sudan,2478.0,1,0.00173283386148758
LKA,Sri Lanka,2372.0,1,0.00165870941059263
SDN,Sudan,19991.0,1,0.0139794518664238
SUR,Suriname,68.0,1,4.75515345363822e-05
CHE,Switzerland,424.0,1,0.000296497803579795
SYR,Syrian Arab Republic,5733.0,1,0.00400901393378058
TWN,Taiwan,790.2,1,0.000552576802803665
TJK,Tajikistan,853.0,1,0.000596492043522559
TZA,United Republic of Tanzania,15650.0,1,0.0109438458160938
THA,Thailand,21310.0,1,0.0149018117789751
TGO,Togo,2820.0,1,0.00197199010871467
TTO,Trinidad and Tobago,47.0,1,3.28665018119112e-05
TUN,Tunisia,4993.0,1,0.00349154135206112
TUR,Turkiye,23099.0,1,0.0161528367096455
TKM,Turkmenistan,2000.0,1,0.00139857454518771
UGA,Uganda,9100.0,1,0.00636351418060409
UKR,Ukraine,33777.0,1,0.0236198262064027
ARE,United Arab Emirates,90.0,1,6.2935854533447e-05
USA,United States of America,35252.0,1,0.0246512749334786
URY,Uruguay,2047.0,1,0.00143144104699962
UZB,Uzbekistan,4437.0,1,0.00310273762849894
VEN,Venezuela (Bolivarian Republic of),3300.0,1,0.00230764799955972
VNM,Viet Nam,11746.0,1,0.00821382830388743
YEM,Yemen,1452.0,1,0.00101536511980628
ZMB,Zambia,3836.0,1,0.00268246597767003
ZWE,Zimbabwe,4100.0,1,0.00286707781763481
AUT,Austria,1392.4,1,0.000973687598359685
BEL,Belgium,880.9587,1,0.000616043206590829
BGR,Bulgaria,3629.0,1,0.0025377135122431
HRV,Croatia,897.0,1,0.000627260683516689
CYP,Cyprus,123.634,1,8.64556826598688e-05
CZE,Czechia,2531.821,1,0.00177047020178585
DNK,Denmark,2419.278,1,0.00169177031426632
EST,Estonia,697.0,1,0.000487403228997918
FIN,Finland,2250.0,1,0.00157339636333618
FRA,France,19075.436,1,0.0133392096139787
DEU,Germany,11913.0,1,0.00833060927841061
GRC,Greece,3220.1601,1,0.00225181697364456
HUN,Hungary,4488.0,1,0.00313840127940123
IRL,Ireland,444.0,1,0.000310483549031672
ITA,Italy,9329.07,1,0.00652369991613716
LVA,Latvia,1328.0,1,0.000928653498004641
LTU,Lithuania,2247.0,1,0.00157129850151839
LUX,Luxembourg,63.515,1,4.44152311187988e-05
MLT,Malta,10.38,1,7.25860188952423e-06
MNE,Montenegro,15.0,1,1.04893090889078e-05
NLD,Netherlands,1048.8,1,0.000733412491496436
POL,Poland,11395.0,1,0.00796837847120699
PRT,Portugal,1843.4951,1,0.00128913266051914
ROU,Romania,9378.0,1,0.00655791604238518
SVK,Slovakia,1367.0,1,0.000955925701635801
SVN,Slovenia,234.46,1,0.000163954893932355
ESP,Spain,16759.8066,1,0.0117199194465145
SWE,Sweden,2543.5,1,0.00177863717784247
GBR,United Kingdom of Great Britain and Northern Ireland,6131.5423,1,0.00428770949176086
