ISO3 Country Code,Country,Animal feed caloric consumption in 2020 (million dry caloric tons),Animal feed fat consumption in 2020 (million tonnes),Animal feed protein consumption in 2020 (million tonnes)
SOM,Somalia,0,0,0
ZAF,South Africa,6.23,0.29,1.33
SSD,South Sudan,0,0,0
LKA,Sri Lanka,0.62,0.05,0.12
SDN,Sudan,1.5,0.06,0.25
SUR,Suriname,0.04,0,0
CHE,Switzerland,1.22,0.08,0.24
SYR,Syrian Arab Republic,0,0,0
TWN,Taiwan,5.85,0.27,1.33
TJK,Tajikistan,1.45,0.08,0.24
TZA,United Republic of Tanzania,1.49,0.08,0.2
THA,Thailand,12.75,0.69,2.28
TGO,Togo,0.46,0.02,0.09
TTO,Trinidad and Tobago,0.13,0.01,0.03
TUN,Tunisia,2.9,0.1,0.55
TUR,Turkiye,17.77,1.02,4.29
TKM,Turkmenistan,0.61,0.06,0.16
UGA,Uganda,0.4,0.02,0.07
UKR,Ukraine,18.28,0.49,5.39
ARE,United Arab Emirates,1.51,0.05,0.26
USA,United States of America,192.19,10.42,43.35
URY,Uruguay,1.15,0.08,0.2
UZB,Uzbekistan,4.28,0.28,0.97
VEN,Venezuela (Bolivarian Republic of),1.67,0.1,0.25
VNM,Viet Nam,24.56,1.28,3.55
YEM,Yemen,0.58,0.03,0.11
ZMB,Zambia,1.01,0.07,0.32
ZWE,Zimbabwe,0.22,0.01,0.08
